SP_ENTITY_NAME,SP_ENTITY_ID,MI_INDUSTRY_CLASSIFICATION,SP_COMPANY_TYPE,SP_COMPANY_STATUS,SP_COUNTRY_NAME,SP_DEBT_TO_EQUITY,SP_TOTAL_DEBT,SP_TOTAL_ASSETS,SP_MARKETCAP,SP_COMPANY_NAME_ABBR
Balkan and Sea Properties REIT-Varna (BUL:BSP),4862743,Residential REIT,Public Company,Operating,Bulgaria,0.76,"39,881","93,491",145.4,Balkan & Sea Ppts REIT-Varna
Baltic Horizon Fund (TLSE:NHCBHFFT),4756103,Diversified REIT,Public Company,Operating,Finland,1.50,"199,147","346,338",84.3,Baltic Horizon Fund
Bangkok Commercial Property Fund (SET:BKKCP),4863742,Office REIT,Public Company,Operating,Thailand,NA,0,"1,416,251","1,030.0",Bangkok Comm Ppty Fund
"Barcino Property SOCIMI, S.A. (BME:YBAR)",8292877,Residential REIT,Public Company,Operating,Spain,0.56,"13,630","39,589",39.1,Barcino Property SOCIMI S.A.
BB Fundo De Investimento Imobiliario Progressivo (BOVESPA:BBFI11B),4864443,Office REIT,Public Company,Operating,Brazil,NA,0,"383,680",249.0,BB Fundo De Investimento Imobi
Befimmo SA (ENXTBR:BEFB),4143727,Office REIT,Public Company,Operating,Belgium,0.74,"1,205,813","2,982,289","1,271.9",Befimmo SA
"Belpointe PREP, LLC (NYSEAM:OZ)",26194614,Diversified REIT,Public Company,Operating,USA,0.03,"10,790","341,426",309.2,Belpointe PREP LLC
BHG Retail REIT (SGX:BMGU),4646416,Retail REIT,Public Company,Operating,Singapore,0.45,"295,454","1,044,588",274.3,BHG Retail REIT
Bhiraj Office Leasehold Real Estate Investment Trust (SET:BOFFICE),8263689,Office REIT,Public Company,Operating,Thailand,0.33,"2,415,558","10,131,051","5,903.0",Bhiraj Office Leasehold REIT
Big Yellow Group Plc (LSE:BYG),4143568,Self-Storage REIT,Public Company,Operating,United Kingdom,0.20,"438,656","2,670,380","1,922.5",Big Yellow Group Plc
Bleecker Société Anonyme (ENXTPA:BLEE),4862747,Diversified REIT,Public Company,Operating,France,0.80,"304,276","732,379",190.1,Bleecker Société Anonyme
"Bluerock Homes Trust, Inc. (NYSEAM:BHM)",105793921,Residential REIT,Public Company,Operating,USA,0.14,"63,007","541,464",93.3,Bluerock Homes Trust
Boardwalk Real Estate Investment Trust (TSX:BEI.UN),4105048,Residential REIT,Public Company,Operating,Canada,1.02,"3,325,079","6,660,653","2,189.3",Boardwalk REIT
